llave_estudiante,nombre_estudiante,apellido_paterno,apellido_materno,genero,edad,llave_generacion
465,NATHANAEL,LUZANIA,,H,21,10
466,ROCIO EDITH,MURGA,LOARCA,M,20,4
467,OLGA PATRICIA,GALINDEZ,MOTTA,M,19,6
468,SAGRARIO,CERECER,ROCA,M,23,9
469,OSCAR RICARDO,ANDA,SARIANA,H,20,9
470,JESUS IRENE,SORROZA,ARMAS,M,14,4
471,VICTOR ISRAEL,Y CAMPOS,PINAL,H,16,9
472,ROSANGEL,BARCENA,CUJ,M,20,6
473,SUSANA ESTHER,ARCIA,PONCIANO,M,23,10
474,CYNTHIA ESMERALDA,VIRTO,MELGOZA,M,22,4
475,VICTOR EMMANUEL,TRANQUILINO,,H,19,2
476,HILDA CAROLINA,CANTELLANO,ESTILLADO,M,21,10
477,NELLY PATRICIA,VERASTEGUI,,M,21,9
478,JORGE AURELIO,ACUA,MONTUY,H,20,6
479,MARIA JOAQUINA,LEAOS,FAYAD,M,15,11
480,NORA DELIA,AULIS,BRAN,M,21,8
481,ADRIANA CRISTINA,GALDINO,CARRILLO,M,22,2
482,MARIA MAXIMINA,SAURI,CHAGOLLA,M,21,8
483,TONATIUH,POPOMEYA,HIGINIO,H,16,10
484,RODOLFO ULISES,VILLASOR,SALOME,H,20,8
485,J JORGE,COLOHUA,ASCENCIO,H,21,10
486,OSCAR NOE,COLULA,CONEJO,H,15,10
487,LIRIO,CADENAS,CHITICA,M,20,4
488,RAFAEL ANDRES,CORTINA,TREVINO,H,20,7
489,ROSAVELIA,BRICENO,CANDANOZA,M,17,7
490,RAQUEL VERONICA,MUNDO,Y MENDOZA,M,20,2
491,BRAULIO,CAAMAO,CAPI,H,23,9
492,ZEUS,NOH,VILLARELLO,H,22,10
493,ANA GRACIELA,MASIAS,CLAVERIA,M,14,5
494,HILDA ISABEL,FUENTEVILLA,CONTRERA,M,20,6
495,SILVIA ALICIA,CELIZ,URRUTIA,M,20,2
496,PABLO FRANCISCO,SARACHO,TLAZOLA,H,20,6
497,JOSE JUAN MANUEL,AROA,MATA,H,21,2
498,DORA SOFIA,CLAUDIO,MADRAZO,M,22,9
499,FLORENCI,CHALMA,COPCA,M,17,2
500,GUTBERTO,BARRUETA,ALMARAZ,H,19,6
501,ERIKA BEATRIZ,LOZANIA,REBELES,M,20,10
502,GUADALUPE YADIRA,TOVALIN,Y TUN,M,20,6
503,ZOYLA,PROO,,M,20,1
504,JOSE ALFR,FAVELA,,H,17,8
505,MARIA FERMINA,RAMAYO,ZASUETA,M,24,6
506,FRANCISCO ALEJANDRO,BORJA,ACACIO,H,19,4
507,JESUS JULIAN,NANDUCA,JUAN,H,22,7
508,LAZARO,HARRIS,PELAYO,H,17,7
509,VICTORINO,CUBILLAS,CELSO,H,24,5
510,PEREGRINA,ARTIAGA,BECERRA,M,21,11
511,IVAN,LAYNES,PALMILLAS,H,24,9
512,JORGE GILBERTO,VZQUEZ,CORDOBA,H,20,9
513,MERCEDES LORENA,AMACENDE,VIERA,M,18,9
514,MEINARDO,COMPARAN,TZAB,H,20,9
515,PEDRO ERNESTO,RINCONES,RIZOS,H,20,10
516,DAVID SALOMON,LAZALDE,MIRAFLORES,H,23,8
517,BENJAMIN,BATALLA,XOCHIHUA,H,21,6
518,MARIA IVONE,TEHUITZIL,JACOBO,M,18,10
519,CECILIA IRENE,CIPRIANO,CONTI,M,17,1
520,CELESTINO,AGUIRRE,LAURA,H,18,4
521,REYNA FABIOLA,PIEDRA,,M,16,1
522,NELIA GUADALUPE,ABOYTE,,M,23,1
523,JESUS ERNESTO,PON,,H,19,4
524,MONICA FABIOLA,OLMOS,JARVIO,M,17,11
525,LAURA MARICELA,ZALAPA,ARGUELLO,M,21,9
526,OMAR ARTURO,QUIME,CASTRUITA,H,20,1
527,HECTOR EUGENIO,NEVARES,OLIVARRIA,H,19,2
528,TILA MARIA,DEL PILAR,CARRION,M,23,8
529,NORMA CLAUDIA,BELMONTE,LARUMBE,M,19,6
530,CLAUDIA CATALINA,COTE,GINES,M,23,2
531,LUIS JESUS,PESTAA,,H,20,3
532,YEDID,LILI,SENCION,M,20,1
533,ELENA MA,TEPANGO,LA,M,19,8
534,MIZRAIM,GORROSQUIETA,RICHART,H,21,4
535,BEATRIZ ANDREA,CONS,LAVEAGA,M,20,7
536,EDGAR FABRICIO,YUNES,COLLANTES,H,19,11
537,JOSE JOEL,BORRALLES,CUNA,H,19,4
538,JOSE MARCELINO,BERRIDI,CLAUDIA,H,20,6
539,JULIO JESUS,SECA,MAGANDA,H,20,8
540,DANIELA,AUCES,LAFARGA,M,17,4
541,CARMEN ADRIANA,LLANAS,LLERA,M,19,6
542,MA COLUMBA,ALPUIN,MAGA,M,20,9
543,MARIA FRANCI,YEBRA,PEUELA,M,19,10
544,ANA GISELA,EGUIZAR,CAL Y MAYOR,M,17,6
545,CLAUDIA ISABEL,BIVIAN,URESTI,M,20,5
546,NORMA ANTONIA,PORTALES,ROQUEI,M,18,7
547,WILLIAMS,JOO,DONIZ,H,20,7
548,CARLOS JORGE,DEL ALTO,,H,18,2
549,MARIA CRI,AGUIIGA,,M,21,9
550,MEINARDO,BEJINES,,H,22,7
551,OMAR CUAUHTEMOC,MERODIO,,H,23,2
552,JOEL FRANCISCO,CAMBRAY,PEDRIN,H,23,3
553,ELEAZER,URQUIJO,TZOMPA,H,20,11
554,MARIA SUSANA,CADENGO,COURTOIS,M,17,7
555,ELIER,PERCASTRE,GUMETA,H,20,9
556,SMIRNA,AVIA,,M,18,5
557,MIGUEL ADOLFO,DE SANTILLANA,URQUIDEZ,H,20,6
558,HIRAM,SAMPALLO,,H,20,1
559,TERESITA DE JESUS,ROSILES,RETAMOZA,M,20,6
560,MARLIT,ELIAS,ZUMARRAGA,M,20,6
561,MARTA OLIVIA,CERVERA,SOLIMAN,M,18,4
562,DAVID URIEL,BAINORI,NEPAMUCENO,H,19,7
563,GUILLERMO LUIS,TAPIZ,SANDATE,H,16,6
564,LIMBER,TINAJERA,ISLAO,H,20,7
565,JOSE MARIANO,VIDRIO,ANIBAL,H,20,4
566,PABLO DAVID,BERZUNZA,MORILLON,H,16,11
567,AGUSTIN JAIME,PAPALOTZI,CRODA,H,23,1
568,MACARIO,CAAMAR,LINAS,H,20,7
569,RAMON ISRAEL,TEMOXTLE,,H,20,7
570,PABLO ALBERTO,BERNES,ARELLANES,H,21,5
571,DANIEL DAVID,PASAFLORES,BERRELLEZA,H,18,3
572,LOURDES ISABEL,COMPIAN,,M,18,2
573,LUCY,VERBER,VIDANA,M,20,9
574,MARTIN GUADALUPE,MONTAO,ALTO,H,21,7
575,CHRISTIAN NALLELY,ABONZA,GASTALDI,M,21,8
576,CESAR EDUARDO,CUAMEA,GARVALENA,H,19,8
577,GABRIEL ANGEL,MAYREN,LUGAY,H,20,9
578,LUIS JOSE,BAUTISTA,CHIMAL,H,22,3
579,MACLOVIA,VALENZUELA,CITAL,M,22,8
580,ADA SARAI,BIBRIESCA,ATRISTAIN,M,15,6
581,LAURA IRENE,GAUCIN,TOBON,M,19,1
582,JUDITH EUGENIA,URIAS,OLAIZ,M,18,6
583,CONRRADO,GAZPAR,,H,21,4
584,MARTHA BEAT,NURIULU,TLACOCUENTLA,M,21,8
585,DIANA DEL ROSARIO,CARRANZA,,M,20,6
586,ANA YADIRA,AVIA,,M,20,8
587,MARIA ELIDE,TREVIO,GORZO,M,20,3
588,MARIA IS,AULIS,FENTANES,M,21,2
589,VICTOR MAN,CEQUERA,SANVICENTE,H,16,2
590,DAVID,AMAYA,,H,21,1
591,RAMON ULISES,SALCEDO,,H,21,3
592,SERGIO A,REDUCINDO,,H,20,11
593,BERTHA ROSA,ARMENTA,DUEAS,M,19,11
594,CLARA ELENA,LEREE,FLATCHER,M,19,2
595,DULCE MARIA DEL CARMEN,ROGEL,ORDA,M,20,11
596,AZUCENA MARGARITA,RECIO,CIRIACO,M,24,1
597,JULIO RAFAEL,PACO,PANCARDO,H,17,1
598,AMANCIO,TEREZA,ISAAC,H,19,3
599,IVAN RAFAEL,ARRIAGA,COTA,H,16,11
600,ELIUTH,ANZUA,IRAZABA,H,20,10
601,ESEQUIEL,JAVIER,PAVON,H,21,3
602,LUZ DEL CARM,LAMBAREN,BEJINES,M,19,9
603,BLANCA MIRIAM,GASPAR,,M,23,10
604,CARLOS EDMUNDO,SESEA,ORTEGON,H,18,10
605,GUADALUPE AMPARO,ACERO,,M,19,5
606,FLOR KARINA,BURGUETE,ARCOS,M,21,1
607,EDITH ESTHER,TLAPALE,RIVADENEYRA,M,18,11
608,RAUL SANTIAGO,SAN VICENTE,BRIONES,H,23,2
609,MARIO DE JESUS,MIMBELA,BANDA,H,21,3
610,SONIA CECILIA,DE LA TRINIDAD,,M,21,2
611,GERZAIN,SIXTO,VALVERIO,H,15,5
612,MONICA LAURA,CONDE,DOJAQUEZ,M,23,10
613,NORMA LETICI,SARMIENTOS,,M,21,4
614,J. CARMEN,CAAS,MASTACHE,H,19,3
615,SOFIA ALEJANDRA,MAJATA,ALVIZAR,M,18,11
616,MARIA LETICIA,TLATILPA,PUCH,M,19,4
617,MONICA GISELA,Y DURAN,,M,22,9
618,MARINA EUGENIA,CIMA,ALBAIL,M,20,8
619,EDITH ANGELICA,CUJ,DE GABRIEL,M,22,4
620,PATRICIA,BRICEO,ESCALONA,M,20,8
621,ALVARO ALEJANDRO,ANTUNEZ,CANELA,H,21,2
622,IVONNE ROCIO,GARNELO,,M,20,2
623,ANGELA MARIA,MACUITL,GAXIOLA,M,19,5
624,CARLOS DAVID,CORRIL,AGUEDO,H,19,1
625,JORGE RAUL,VERAZALUCE,,H,18,3
626,FELIX DANIEL,ROARO,BARILLAS,H,23,5
627,CLISERIO,JIMENO,ANASTACIO,H,22,9
628,ANGEL DANIEL,MARTA,PROMOTOR,H,18,5
629,YOLOXOCHITL,GENARO,DE ANDA,M,18,4
630,JOSE VICTOR,NEPITA,SANTOS,H,23,6
631,ERICK OMAR,CUXIN,ABREU,H,21,4
632,BLANCA BERENICE,PANTI,BLANCO,M,20,3
633,SUJEY,MITRA,SANTINI,M,19,5
634,ESTREBERTO,SANLUIS,TOVILLA,H,23,10
635,ADRIANA ROCIO,KURY,SANTAOLAYA,M,19,8
636,DELIA ANGELICA,XACA,AVENDAO,M,17,9
637,RAMON ANTONIO,MARRUFO,CIENEGA,H,20,7
638,HAYDEE,LINCE,MU?OZ,M,17,7
639,NATIVIDAD DE JESUS,NICIO,ZARATE,M,18,2
640,HORTENSIA,LEGASPY,VAN,M,22,11
641,ROSA HAYDEE,CARPINTEIRO,,M,16,4
642,FABIOLA DEL CARMEN,CAGAL,FLOTA,M,20,6
643,JUAN BOSCO,LUQUEO,YOVAL,H,18,2
644,DANAE,OJEDA,WILLIAMS,M,19,2
645,MARGARIT,MEDEL,TOLENTINO,H,19,8
646,GILDARDA,VILIS,ZEPAHUA,M,20,4
647,VICTOR RAUL,ALBARADO,OGARRIO,H,19,2
648,CARMEN JOSEFINA,CUAUTLI,,M,21,2
649,ALMA MIRIAM,ALMEDA,WINKLER,M,18,8
650,IVAN JESUS,DAMACIO,BALZAMAR,H,17,11
651,MARIA LINDA,URBINA,PALAGOT,M,24,7
652,CESAR FERNANDO,TAQUILLO,,H,20,6
653,JOSE REFUGIO,GUIJARRO,VILLA,H,20,1
654,BEATRIZ AMALIA,JULIAN,MASS,M,22,6
655,MARIA ROCI,ESCARRAMAN,VENANCIO,M,18,10
656,CLARIZA,NUEZ,VILLICAA,M,21,4
657,NOLBERTO,CIBRIAN,,H,20,2
658,SALIM,ARRON,CHICON,H,15,5
659,RAMON RENE,BALDOMERO,ALIAS,H,20,7
660,MARIA TEODORA,NEYRA,TEJERA,M,19,7
661,ROBERTO ESTEBAN,DEL PUERTO,,H,22,10
662,PABLO CESAR,ALDABA,SANTELIZ,H,17,10
663,ROSANGELA,MARTIGNON,MOORE,M,21,9
664,MARTHA ISELA,FLORAN,CAMELA,M,17,11
665,JESSICA DANIELA,ZAMORA,ESCAYOLA,M,21,4
666,ENRIQUE JESUS,ESCOBEDO,CAMBRANO,H,19,7
667,LUIS F,BUSTOS,OMAA,H,22,10
668,ALMA LORENA,COY,NIVON,M,20,10
669,IMELDA GUADALUPE,ACEBO,MATLALCUATZI,M,20,11
670,ALMA SILVIA,POCEROS,SALUD,M,21,1
671,NATALIO,LEVARO,MATILDE,H,21,3
672,JESUS CARLOS,HUESCAS,LEOCADIO,H,19,4
673,PERLA VIANEY,MERIDA,ABRIL,M,19,5
674,J ANDRES,OIDOR,,H,21,4
675,JORGE ORLANDO,TAMES,RASGADO,H,18,2
676,FIDEL JESUS,MONTELLANO,ESCATEL,H,18,6
677,XOCHITL GABRIELA,MUOZ,LAGUNEZ,M,22,9
678,DIANA KARINA,AZPILCUETA,CEH,M,23,2
679,HECTOR MAN,ARONIA,ALBAEZ,H,20,6
680,SERGIO GUADALUPE,MERCADER,PICON,H,21,7
681,FLOR ELIZABETH,COBIAN,PAZ,M,21,11
682,FRANCISCO VICENTE,RUMUALDO,LEAL,H,21,6
683,ALVARO JESUS,SANPEDRO,ZIB,H,22,10
684,ALEJANDRO ALBERTO,CASTOLO,CALZADILLAS,H,16,8
685,LUIS FERNA,TEXCUCANO,CHUNG,H,18,6
686,NOEMI,FORTUNA,LIBREROS,M,18,9
687,HECTOR HUGO,SABANERO,IBAL,H,18,11
688,BERTHA KARINA,MAYORQUIN,,M,21,8
689,SERGIO RAUL,AZNAR,AHUACTZI,H,19,6
690,JAVIER ANTONIO,ARZETA,TEROS,H,18,1
691,ERNESTO JAVIER,TOSCUENTO,,H,20,11
692,LUIS ADAN,AMIGON,MARIELARENA,H,20,2
693,JUAN FIDEL,FORT,,H,20,2
694,MILDRET,BELLO,REBOLLO,M,19,10
695,ALFONSO,INIESTA,JAUREGUI,H,22,2
696,JACQUELIN,OVALLES,BERRIOZABAL,M,21,7
697,RICARDO EMMANUEL,ANZUA,,H,21,3
698,LIZZETH,NANDAYAPA,CAPULTITLA,M,21,10
699,JUAN ISIDRO,ANTONIO,MIER,H,17,7
700,KARLA GISELA,SALAYA,AQUINO,M,22,1
701,GAMALIEL,SAYNES,UREA,H,19,7
702,MARIA REFUGIO,COMBERA,TEPOXTECO,M,22,5
703,DAHIR,FORTANELL,,H,21,1
704,JOSE FERNANDO,CAMERA,YELADAQUI,H,22,9
705,DORA LETICIA,ALAFITA,SUAZO,M,19,1
706,VICTOR ALEJANDRO,AGUEDA,TESILLOS,H,21,2
707,BUENA VENTURA,BALVERDE,MAXIMO,H,24,4
708,MA IGNACIA,JANTES,SABINO,M,19,5
709,JOSEFA DEL CARMEN,QUINTO,RUAN,M,18,6
710,MA MATILDE,Y CONTRERAS,OLIVE,M,20,10
711,FLOR ELENA,MUNGARRO,,M,17,5
712,MA ENRIQUETA,CAMPIRANO,HINOJOS,M,15,9
713,JESUS EFREN,CAZARES,LUCERO,H,20,7
714,SARA LOURDES,SEANEZ,YEN,M,20,10
715,PAOLA DEL CARMEN,TEPATO,PAYAN,M,19,2
716,MARIA REMEDIO,GENOVEZ,YBARRA,M,20,3
717,PEDRO ISMAEL,XOSPA,GLORY,H,17,6
718,J MARTIN,SANTIBAEZ,CASQUERA,H,17,8
719,ALBERT,QUIRALTE,,H,20,9
720,OSIEL,ALAMILLO,MUNGARAY,H,19,5
721,MA DOMINGA,ARGUELLO,,M,23,2
722,MAURICIA,GARCEZ,LINOS,M,19,8
723,AGUSTIN GERARDO,SORROZA,XOLALPA,H,19,5
724,LAURA ANGELI,GODET,,M,21,2
725,CARLOS AMADOR,XINGU,MONTEVERDE,H,20,2
726,MA GENOVEVA,COMUNIDAD,CATANA,M,16,5
727,IRMA DE JESUS,LLANAS,,M,21,4
728,RUBELIO,EPITACIO,,H,22,5
729,SANDY ELIZABETH,NORBERTO,PEREZCHICA,M,23,9
730,LEONICIA,DAHER,PEDRERA,M,20,4
731,MARCO CESAR,CRISTIANI,,H,17,10
732,FRANKLIN,CASADO,COB,H,19,1
733,MA INES,ZAGADA,,M,20,2
734,ANDRES GERARDO,VALTIERREZ,BOTIS,H,22,8
735,REYNA OLIVIA,HERVER,LAVAT,M,20,5
736,OMAR GERARDO,ROSETE,LARRINAGA,H,22,6
737,ALBERTO CARLOS,LOPEZ,MESINAS,H,17,1
738,EDIN,LUQUEO,VILLAVELAZQUEZ,H,20,4
739,JESUS ANDRES,ALANIS,SEDAS,H,21,3
740,LOYDA,RENTERIA,BANDERA,M,20,5
741,MARIA R,UBANDO,,M,20,8
742,IVAN ALONSO,PESCINA,COMONFORT,H,22,5
743,BRENDA MARCELA,ZAMUDIO,PLANTILLAS,M,18,11
744,JOSE RENE,CEDENO,TZINTZUN,H,19,10
745,MARISOL GUADALUPE,FEBLES,ONOFRE,M,20,8
746,CIRO,YOC,SALDAA,H,22,7
747,RAMON OMAR,ZAPOTECAS,,H,21,2
748,VERONICA MARISOL,VENTURA,,M,18,5
749,JUAN MARCOS,AMAVIZCA,GUEREQUE,H,21,11
750,CLAUDIA EMILIA,TRONCO,ELIZARRARAZ,M,19,5
751,INOCENCIO,CAMELA,PASILLAS,H,19,4
752,LUZ MARIA DEL CARMEN,VERDAYES,,M,20,2
753,NEMESIO,GAMERO,DE LA RIVA,H,19,9
754,LAURA SOCORRO,ROSAL,TENORIO,M,20,10
755,JUVENAL,CORONEL,YABUR,H,20,1
756,ANA PRISCILA,BAREA,SUASTEGUI,M,21,7
757,LUIS ROSENDO,VIZCARRA,,H,23,4
758,ELPIDIO,JALOMO,OCA,H,24,3
759,NANCY ISABEL,ROCHER,,M,19,1
760,OLGA EDITH,ZAGAL,YAEZ,M,21,10
761,LUIS AMADO,CERQUEDA,,H,18,6
762,HUGO DE JESUS,ZAPOTECAS,TLECUITL,H,18,1
763,MARIA BENIGNA,AZCARRAGA,SANROMAN,M,21,4
764,JESUS OSCAR,BRISEO,ANDUJO,H,21,1
765,JUAN RICARDO,ZARUR,CASTAEDA,H,20,9
766,ALMA DOLORES,CUATZO,ALEXANDER,M,18,8
767,FRANCISCO ESTEBAN,CHIMAL,PODESTA,H,21,5
768,ANA GABRIELA,ONTHE,GALGUERA,M,21,8
769,MAYRA LETICIA,GANDARA,ZARRABAL,M,23,9
770,SENOBIA,CALERO,MITZI,M,24,10
771,JOSE EMILIANO,CARPENA,RONDAN,H,20,9
772,HECTOR SAMUEL,JARQUIN,MEZO,H,19,5
773,MIRIAM IVETTE,MANRRIQUEZ,VECINO,M,20,7
774,GLORIA ELVA,CORRO,LEDON,M,16,6
775,JORGE OCTAVIO,ABREGO,,H,22,9
776,NELLY ALEJANDRA,LAVANDEROS,BALLONA,M,20,6
777,ERACLIO,ITURRALDE,MARINES,H,23,6
778,MARTHA LUCIA,LOE,RAYO,M,19,3
779,JOSE ROBERTO,ZAYAGO,,H,22,9
780,ALFREDO MANUEL,PLUMA,RAYON,H,19,8
781,GUSTAVO ALFONSO,TLECUILE,ESCALON,H,20,4
782,FELICITO,PENCA,,H,21,7
783,PATRICIA DEL PILAR,TICO,,M,21,5
784,JOSE REMEDIOS,CATZIN,CANTORAN,H,21,4
785,KARLA ARACELY,ARTEAGA,TZITZIHUA,M,21,3
786,JORGE MAURICIO,CAZADERO,VELASQUEZ,H,22,10
787,ALI,BOLOM,,H,21,8
788,CHRISTIAN IVAN,NUEZ,ESTEBAN,H,22,11
789,MA. LIDIA,MASTRANZO,ESPARZA,M,23,7
790,LUIS,DEL LLANO,BAYONA,H,14,3
791,MARIVEL,JOSEFA,CORTAZAR,M,21,2
792,MARTHA ALEJANDRINA,PARRAL,CHOLULA,M,19,7
793,MARIEL,PELATOS,OLAYA,M,17,4
794,MARELI,BUTRON,VAZQUEZ,M,21,5
795,GERARDO JOSE,JUNCO,COMUNIDAD,H,20,9
796,FLOR SILVESTRE,PORTES,,M,21,1
797,SAYRA,JARQUIN,LIZALDE,M,21,11
798,ALBA IRIS,VELEDIAZ,HERAZO,M,15,11
799,FLORANGELY,JAHUEY,ESESARTE,M,18,4
800,JAIME GABRIEL,POZOS,GUARDADO,H,20,10
801,PATRICIA OLIVIA,BRAULIO,TEYSSIER,M,21,4
802,ROGER ENRIQUE,HUBBARD,QUEMADA,H,20,7
803,PEDRO GERARDO,BLANDO,UZCANGA,H,20,4
804,EMMA,GOUJON,ORGANES,M,18,3
805,ELITANIA,VILLASENOR,AHUATZI,M,22,5
806,ALDO,CAHUN,ANZUETO,H,19,10
807,JESUS FILIBERTO,EVANGELISTA,LIZARDI,H,20,9
808,DANIEL ANGEL,MANCINAS,,H,22,7
809,ANGEL DE JESUS,BOHORQUEZ,ALATRISTE,H,18,8
810,ONORIO,MAQUEO,SCHEZ,H,21,9
811,CLAUDIA MARISOL,JAQUES,NORIS,M,24,6
812,ARMANDO SILVESTRE,RICO,,H,23,10
813,ERIKA NOHEMI,DURAND,TALLEDOS,M,20,2
814,GUADALUPE MAGDALENA,KANTUN,,M,16,8
815,JOSE FAUSTINO,ORDOEZ,DE CASTILLA,H,17,6
816,HUGO RENE,TILAN,PESQUERA,H,20,6
817,JUAQUIN,CAEDO,VIAN,H,19,4
818,MARIO AURELIO,RIVERO,,H,20,8
819,NATIVIDAD DE JESUS,VALORA,PORTILLA,M,19,4
820,ODIN,DIAS,BLASS,H,17,11
821,ROSA CARMEN,CANDELARIO,ALMENDAREZ,M,22,3
822,CARLOS EFRAIN,AMAO,EUGENIO,H,24,11
823,JANNETH,PAZ,COLCHADO,M,22,9
824,SERGIO DAVID,KATT,TEMORES,H,15,3
825,NORMA MAGALY,BRAMASCO,ARAIZA,M,20,8
826,ALBERTO CARLOS,ALVIZO,JONAPA,H,17,8
827,ADRIAN GUADALUPE,ESPARZA,MARRUFO,H,19,11
828,CINTHYA BERENICE,POSADA,OLACIO,M,20,2
829,VICTOR DAVID,MUOS,MONTENEGRO,H,18,6
830,ANA REYNA,ASIAIN,EVARISTO,M,17,8
831,ASUNCION,TAVIZON,VON,H,22,6
832,EDNA JUDITH,AGUIAGA,BASHULTO,M,21,9
833,FRANCISCO BENJAMIN,BENET,PIRUL,H,19,3
834,JUANA ELISA,MIZ,BUTANDA,M,20,2
835,JOSE PAULINO,PALOMINO,ACHO,H,19,3
836,LUIS ISRAEL,BERZUNZA,CONDES,H,21,5
837,ANA SOLEDAD,HERVERT,URETA,M,19,1
838,BERENICE ELIZABETH,URQUIZO,,M,22,10
839,ALINE,GUDIO,CASADOS,M,20,3
840,CESAR MARTIN,VILLARAUZ,VELELA,H,22,2
841,SERGIO ISMAEL,LANDAVERDE,,H,13,2
842,ASDRUBAL,CALATA,CHOY,H,19,7
843,GRACIELA ELIZABETH,LEPE,BASTARRACHEA,M,23,7
844,NOE ANTONIO,BISTRAIN,,H,18,8
845,WILMA GUADALUPE,MESTAS,REJON,M,21,8
846,EVA IRMA,ZAMARRIPA,MANTECA,M,17,4
847,CRISTOPHER,GIBERT,NISIMURA,H,23,6
848,LIMBER,ALMAZO,BENOSO,H,19,6
849,RAFAEL JOSE,TUDON,,H,21,11
850,DAVID JAVIER,BRICEO,CHENA,H,19,1
851,PABLO IVAN,CHAMORRO,,H,20,6
852,MARTHA REBECA,SIXTO,ROSALINO,M,15,4
853,ROSA LOURDES,BALANDRANO,,M,16,4
854,JUAN GILBERTO,TLASECA,,H,21,6
855,MARTINA ELIZABETH,Y ORTIZ,CALTEMPA,M,20,1
856,TERESA DEL JESUS,PUC,,M,22,4
857,JORGE AUGUSTO,CALNACASCO,DE LUNA,H,19,1
858,MARIA AN,ARRIOJA,RUANOVA,M,22,11
859,IRENE ESTHER,HORTELANO,GUMERCINDO,M,21,4
860,ROBISEL,XINGU,CHAMIZO,H,19,2
861,KARLA SELENE,QUEB,CHENA,M,25,4
862,RICARDO ALEJANDRO,AGRIPINO,BAOS,H,20,2
863,EDGAR DAVID,MACIN,OZAETA,H,20,4
864,MARIA DEL R,OTERO,MONTO,M,21,11
865,JUAN GENARO,MARAVILLA,,H,19,3
866,ROSAURA GUADALUPE,DESAMPEDRO,,M,22,9
867,MA GUADALUPE,ZAMITIZ,KEEL,M,19,3
868,NESTOR MIGUEL,LENDECHY,DE ROMAN,H,23,10
869,ARCELIO,ESTOPIER,MATURIN,H,20,10
870,SANDRO,MOSCOSO,MOYRON,H,19,3
871,MARIA CLEMENTINA,VALENTINO,ZITLE,M,23,2
872,SANDRA ELVIRA,COBA,COZAR,M,22,8
873,SINUE,OCAMPOS,VERJEL,H,21,2
874,DIANA OLIVIA,MARAVE,,M,19,2
875,ANGEL RAUL,CATALINA,TREVIZO,H,22,10
876,JOSE RAMON,CAMPOSECO,BURRUEL,H,23,8
877,MARIA CATALI,AGAPITO,NEYRA,M,19,6
878,JOSE AMANDO,CAHUARE,,H,18,7
879,PAMELA GUADALUPE,CHULIM,IZQUIERDO,M,20,11
880,BEATRIZ ANDREA,CARTUJANO,,M,22,7
881,MONSERRATH,GATICA,,M,17,11
882,KARLA MARIELA,CASIO,,M,21,5
883,WILLIAM ANTONIO,CAEDO,SOLANA,H,20,1
884,MAYRA ROCIO,NANDUCA,FRUCTUOSO,M,18,3
885,MYRNA ALICIA,TORALVA,ALMERAYA,M,21,1
886,JAVIER RAFAEL,BERECOCHEA,JIRON,H,19,5
887,TERESA DEL SOCORRO,NERY,CARRISOZA,M,20,3
888,ZAYURI,ESPITIA,CANTELLANO,M,23,11
889,HECTOR ESTEBAN,AMEZOLA,ALDANA,H,20,10
890,JORGE VALENTE,VERDAD,SUMARRAGA,H,19,4
891,JUAN MAURICIO,GAVILANEZ,ARIPEZ,H,18,4
892,JUAN MAURICIO,GALLO,FLORIANO,H,23,7
893,ELSA ADRIANA,PAVIA,CONSUELO,M,19,5
894,MARTIN ALBERTO,TOSCUENTO,,H,20,6
895,FRANCISCA TERESA,CANSINO,,M,21,5
896,RICARDO JAVIER,CANCINO,CHAIRES,H,18,1
897,JOSE MAURO,MONTEON,CHALMA,H,22,9
898,NANCY RUTH,ALVELAIS,,M,19,7
899,MAYRA SUSANA,CUAYA,GARIBAY,M,17,11
900,IDELFONSO,SANTIBAEZ,FRAGOZA,H,20,6
901,AUGUSTO CESAR,VILLATORO,PATIO,H,23,1
902,J ARMANDO,LIZAOLA,LUDWIG,H,21,11
903,SONIA ALEJANDRA,ARQUIETA,,M,20,9
904,JORGE GREGORIO,LEIJA,CAAMAO,H,19,11
905,JESUS PAUL,ORILLO,MONTEMAYOR,H,20,5
906,BLANCA NANCY,AMARILLAS,XICOHTENCATL,M,20,3
907,SIMON ALBERTO,BARRALES,WVALLE,H,19,9
908,JULIO DANIEL,THOMAS,,H,21,1
909,DARVELIO,SANDRE,,H,21,5
910,MARIA MARGA,LESCAS,TZOMPAXTLE,M,20,8
911,FERNANDO JESUS,SAQUIN,IIGUEZ,H,22,8
912,DAVID FERNANDO,PRUDENTE,RIOJA,H,19,10
913,LILIA,QUIONES,SIDA,M,23,6
914,ANA GISELA,CONSUELOS,MUIZ,M,21,4
915,ADRIAN FERNANDO,CHIAPA,AZARCOYA,H,20,7
916,JORGE IGNACIO,BUDAR,LAVANA,H,20,4
917,VIVIANO,COLLI,OCH,H,21,5
918,FABIOLA ANGELICA,VERON,BASTIAN,M,16,6
919,BLANCA JANET,ISAIAS,RENAUD,M,19,1
920,HILDA GABRIELA,TORRIJOS,SANDATE,M,21,10
921,PEDRO FERNANDO,KAU,CUAZITL,H,22,8
922,RAUL HUMBERTO,ZENON,,H,20,6
923,MARTHA EDNA,MAZARIEGOS,,M,19,10
924,JOSE BALTAZAR,SENCION,SOLIMAN,H,18,8
925,RAFAEL ALEJANDRO,VILLAFAN,MEDERO,H,19,4
926,MA. VERONICA,CRUZ,VERANO,M,18,7
